 E keV        f1          f2                                              
2.080733E+00  6.15192E+00  1.4650E-01
2.224304E+00  6.13897E+00  1.2883E-01
2.377781E+00  6.12696E+00  1.1330E-01
2.541848E+00  6.11588E+00  9.9638E-02
2.904724E+00  6.09643E+00  7.7061E-02
3.105150E+00  6.08790E+00  6.7420E-02
3.319406E+00  6.07984E+00  5.8701E-02
3.548445E+00  6.07234E+00  5.1109E-02
3.793288E+00  6.06543E+00  4.4499E-02
4.055024E+00  6.05909E+00  3.8744E-02
4.334821E+00  6.05329E+00  3.3733E-02
4.633924E+00  6.04802E+00  2.9370E-02
4.953664E+00  6.04323E+00  2.5572E-02
5.295467E+00  6.03890E+00  2.2265E-02
5.660855E+00  6.03498E+00  1.9289E-02
6.051453E+00  6.03140E+00  1.6703E-02
6.469004E+00  6.02815E+00  1.4463E-02
6.915365E+00  6.02520E+00  1.2524E-02
7.392525E+00  6.02255E+00  1.0844E-02
7.902609E+00  6.02016E+00  9.3904E-03
8.447890E+00  6.01801E+00  8.1313E-03
9.030794E+00  6.01610E+00  7.0314E-03
9.653919E+00  6.01439E+00  6.0514E-03
2.011215E+01  6.00392E+00  1.1609E-03
2.149988E+01  6.00348E+00  9.9909E-04
2.298338E+01  6.00308E+00  8.5985E-04
2.456923E+01  6.00272E+00  7.4001E-04
2.626450E+01  6.00241E+00  6.3687E-04
2.807676E+01  6.00213E+00  5.4642E-04
3.001405E+01  6.00189E+00  4.6835E-04
3.208502E+01  6.00167E+00  4.0143E-04
3.429889E+01  6.00148E+00  3.4407E-04
3.666551E+01  6.00130E+00  2.9491E-04
3.919543E+01  6.00115E+00  2.5277E-04
4.189992E+01  6.00102E+00  2.1666E-04
4.479101E+01  6.00090E+00  1.8570E-04
4.788159E+01  6.00079E+00  1.5917E-04
5.118542E+01  6.00070E+00  1.3643E-04
5.471721E+01  6.00062E+00  1.1694E-04
5.849270E+01  6.00054E+00  1.0023E-04
6.252870E+01  6.00048E+00  8.5909E-05
6.684318E+01  6.00042E+00  7.3635E-05
7.145536E+01  6.00037E+00  6.3115E-05
7.638578E+01  6.00033E+00  5.4098E-05
8.165640E+01  6.00029E+00  4.6381E-05
8.729069E+01  6.00025E+00  3.9791E-05
9.331374E+01  6.00022E+00  3.4136E-05
9.975239E+01  6.00020E+00  2.9285E-05
2.078156E+02  6.00005E+00  5.4258E-06
2.221548E+02  6.00004E+00  4.6549E-06
2.374835E+02  6.00004E+00  3.9934E-06
2.538699E+02  6.00003E+00  3.4260E-06
2.713869E+02  6.00003E+00  2.9392E-06
2.901126E+02  6.00003E+00  2.5216E-06
3.101304E+02  6.00002E+00  2.1633E-06
3.315294E+02  6.00002E+00  1.8559E-06
3.544049E+02  6.00002E+00  1.5922E-06
3.788588E+02  6.00001E+00  1.3660E-06
4.050001E+02  6.00001E+00  1.1719E-06
4.329451E+02  6.00001E+00  1.0054E-06



